"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-30","2.91",,"0.00","0.0","0.0",,"84","63","  240","  130","8.9","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-31","4.92",,"0.00","0.0","0.0",,"93","65","   60","   70","15.0","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-01","6.49",,"0.71","0.0","0.0",,"72","60","   60","   60","16.1","21.0","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-02","3.13",,"0.45","0.0","0.0",,"79","62","  360","  350","13.0","21.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-03","3.58",,"0.00","0.0","0.0",,"76","62","   50","   50","8.1","12.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-04","2.24",,"0.00","0.0","0.0",,"80","61","  340","  170","8.9","14.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-05","3.58",,"0.00","0.0","0.0",,"77","57","   40","   40","12.1","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-06","4.25",,"0.00","0.0","0.0",,"80","63","  220","  220","12.1","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-07","5.59",,"0.08","0.0","0.0",,"78","63","  150","  180","13.0","23.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-08","4.47",,"0.03","0.0","0.0",,"82","66","  280","  280","12.1","18.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-09","6.71",,"0.83","0.0","0.0",,"81","65","  240","  250","18.1","29.1","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-10","5.59",,"0.00","0.0","0.0",,"77","63","  260","  240","14.1","21.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-11","3.13",,"0.00","0.0","0.0",,"74","66","  230","  230","8.9","14.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-12","2.68",,"0.05","0.0","0.0",,"72","63","  130","  130","8.9","17.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-13","2.46",,"0.00","0.0","0.0",,"85","68","  310","  240","10.1","19.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-14","4.25",,"0.00","0.0","0.0",,"81","68","   50","   50","10.1","15.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-15","3.58",,"0.00","0.0","0.0",,"83","66","   60","   50","14.1","21.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-16","3.36",,"0.32","0.0","0.0",,"71","61","  200","  180","10.1","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-17","6.26",,"0.00","0.0","0.0",,"88","69","  270","  250","17.0","29.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-18","8.72",,"0.00","0.0","0.0",,"75","58","  300","  290","18.1","32.0",,,,,,
